gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez
ENSG00000125740	624.180788439434	-10.0001230715671	0.406817570461854	-24.581345049119	1.99996125348149e-133	1.39433662299542e-130	FOSB	2354
ENSG00000120738	1799.46013649856	-9.92657418708097	0.261208230804397	-38.0025321426964	0	0	EGR1	1958
ENSG00000182393	10.9929603129227	-9.85989710441622	2.63959241460713	-3.73538620957271	0.000187427316808654	0.000508267359478631	IFNL1	282618
ENSG00000188282	4.46336737051078	-8.85892408703293	1.72045024503252	-5.14918935471191	2.61614669327063e-07	1.08733763881814e-06	RUFY4	285180
ENSG00000265465	4.17138331817896	-8.60252061244562	1.79509904321686	-4.79222616988848	1.64940810155779e-06	6.10930245392258e-06	MIR4768	100616249
ENSG00000226025	3.49835734629226	-8.59208148040041	2.45613022073307	-3.49821903084436	0.000468376306574999	0.00119018485590579	LGALS17A	400696
ENSG00000163220	3233.4603793346	-8.06782237584424	0.564383804208293	-14.2949218522697	2.35369861276939e-46	1.80505146613285e-44	S100A9	6280
ENSG00000183709	6.29384547811055	-8.05729594015677	2.99419696835376	-2.69097057585585	0.00712444782361088	0.0145738571243723	IFNL2	282616
ENSG00000171855	3.23146932724806	-7.9977738418471	1.72941448555944	-4.62455583009641	3.75401964484258e-06	1.32609749683546e-05	IFNB1	3456
ENSG00000166923	88.1665706983662	7.97511672267572	1.37125345406192	5.81593191182264	6.02970078443563e-09	3.07458612472319e-08	GREM1	26585
ENSG00000136514	11.3827476123521	-7.84702940864903	1.28713842363836	-6.09649223777177	1.08421211769505e-09	6.03397875950894e-09	RTP4	64108
ENSG00000133636	1362.00284348247	-7.53643350187976	0.23944390216174	-31.4747355595176	1.92609085211995e-217	3.69279768622697e-214	NTS	4922
ENSG00000170345	2277.13550786117	-7.44084757054009	0.151382754407546	-49.1525444867263	0	0	FOS	2353
ENSG00000277632	2.74120029180894	-7.29870181580954	2.2934221247459	-3.18245025067864	0.0014603460158402	0.00342070665714065	CCL3	6348
ENSG00000197110	6.38998813580179	-7.2023710059045	1.50574998740905	-4.78324493848919	1.72487725545822e-06	6.36884144059175e-06	IFNL3	282617
ENSG00000122877	16.911711027276	-7.03649156401327	0.980608603727734	-7.17563718823637	7.19711856895967e-13	5.73451452523135e-12	EGR2	1959
ENSG00000105707	4.87969928989228	-6.99217801441113	1.35905926493898	-5.1448661546964	2.67711612800184e-07	1.11037336861255e-06	HPN	3249
ENSG00000126262	4.9268923501179	-6.95776207705003	1.36964509662796	-5.07997443584465	3.77485662168326e-07	1.52928554842519e-06	FFAR2	2867
ENSG00000145824	27.2135588065529	-6.87042266851822	1.32643680486739	-5.17960798683137	2.2235266720343e-07	9.35907027872174e-07	CXCL14	9547
ENSG00000169562	7.15612133358186	-6.85549277202541	1.38134442281389	-4.96291341884185	6.94435436996093e-07	2.70886336028639e-06	GJB1	2705
ENSG00000101188	2.75067135782686	-6.78007268665256	2.07568032845267	-3.26643394636148	0.00108911212783396	0.00260442809739902	NTSR1	4923
ENSG00000225492	6.1838857648943	-6.75636683592351	1.47539749934058	-4.57935359043459	4.66415137626436e-06	1.62588076838961e-05	GBP1P1	400759
ENSG00000250328	2.80463205434568	-6.74734178267104	1.64501413216277	-4.10169228990149	4.10139464360627e-05	0.000122937641281284	MGC32805	153163
ENSG00000204397	25.3742224208128	-6.73932081302372	1.2720796835193	-5.297876304713	1.17157284790122e-07	5.09920100485496e-07	CARD16	114769
ENSG00000239713	8.55524445157796	-6.69993763059714	1.48689693460556	-4.50598657826576	6.60652633673078e-06	2.24979797852524e-05	APOBEC3G	60489
ENSG00000106302	3.07361232549636	-6.68582917540294	1.54680479513486	-4.32234836382183	1.54377180790016e-05	4.9629788282483e-05	HYAL4	23553
ENSG00000182568	145.520942541369	-6.68560918159499	1.29122183202044	-5.17773864707173	2.24591555847045e-07	9.44294211508218e-07	SATB1	6304
ENSG00000164825	86.4922510664889	-6.68405112440982	0.557803839374629	-11.9827987055513	4.37306885128283e-33	1.67267157209417e-31	DEFB1	1672
ENSG00000132530	126.049738409132	-6.62080246055326	0.439187070779453	-15.0751306244123	2.36048579387151e-51	2.12971359449419e-49	XAF1	54739
ENSG00000011677	3.67916180766379	-6.57287307538531	1.48581855380454	-4.42373872540158	9.70073286778281e-06	3.20944436423755e-05	GABRA3	2556
ENSG00000214262	29.3994319301683	6.5636459443385	1.52115801504425	4.31490080545484	1.59674584857459e-05	5.11974133704592e-05	ANKRD36BP1	84832
ENSG00000197172	44.9282633711014	-6.50160001583118	0.505218720973157	-12.8688818247031	6.73703916395824e-38	3.53879132523259e-36	MAGEA6	4105
ENSG00000128918	1.38526394550788	-6.43715680173721	2.18508340521412	-2.94595473398253	0.00321959512935515	0.0070586263713621	ALDH1A2	8854
ENSG00000129988	28.6305804760658	-6.38270747623133	0.534093487385439	-11.9505435415001	6.45019898556241e-33	2.43677714385607e-31	LBP	3929
ENSG00000198326	0.89408846960993	-6.35278551175382	4.29424098166807	-1.47937331390427	0.139040568338092	0.207775159506007	TMEM239	100288797
ENSG00000138379	1.95024877327238	-6.3439784745842	2.22627698110012	-2.8495908318871	0.00437755042419036	0.00935528332259047	MSTN	2660
ENSG00000130988	1.79946105058785	-6.33556502693359	1.8606628204889	-3.40500436573935	0.00066162996045957	0.00163996126915464	RGN	9104
ENSG00000125207	2.0311291367459	-6.29478273790613	1.751240797341	-3.59447013081458	0.000325052431652303	0.000845169384079169	PIWIL1	9271
ENSG00000069431	13.7705098458881	-6.26589189120752	1.38906511551085	-4.51086980821856	6.45623391165817e-06	2.20498142366985e-05	ABCC9	10060
ENSG00000101938	0.655835058582976	-6.23812816969152	6.03689676660281	-1.03333358360573	0.301447816056635	NA	CHRDL1	91851
ENSG00000157873	26.5951838359955	-6.23698024072647	1.30347595639308	-4.78488322714073	1.71086770502785e-06	6.32015627642512e-06	TNFRSF14	8764
ENSG00000205810	6.05247424925909	-6.20132659458713	1.45391396247531	-4.26526380146271	1.99666145397966e-05	6.29492155830215e-05	KLRC3	3823
ENSG00000134516	23.5825836554626	6.18230084853209	1.50956985556252	4.09540560561097	4.21429912696543e-05	0.000125952689028441	DOCK2	1794
ENSG00000181143	127.457340887352	-6.16992197623708	0.494672103823963	-12.472750997159	1.05132787587328e-35	4.81351252541625e-34	MUC16	94025
ENSG00000207808	2.7719993184946	-6.12317571549152	1.95229332998782	-3.13640149327854	0.00171034882643339	0.00395735862118499	MIR27A	407018
ENSG00000121858	473.578249569748	-6.11693453090523	0.362517151629808	-16.8735037870751	7.04883983409764e-64	1.07044658787514e-61	TNFSF10	8743
ENSG00000160013	3.6435108700277	-6.10559117519918	1.46986830546052	-4.15383551881286	3.26948230548399e-05	9.95381492685857e-05	PTGIR	5739
ENSG00000083720	168.588931502427	6.08136503693604	1.45416995893658	4.18201806436937	2.88933006781097e-05	8.86330891601693e-05	OXCT1	5019
ENSG00000143365	7.62804984010362	-6.05472989950626	1.37117384123165	-4.41572739899095	1.00670886486063e-05	3.32419818498006e-05	RORC	6097
ENSG00000186510	1.10807398967991	-6.02177012770878	2.56394468665921	-2.34863496043477	0.0188423693286773	0.0352100707557569	CLCNKA	1187
ENSG00000164047	1.30871232244305	-6.02116376139413	2.24448569491727	-2.6826474212018	0.0073041951150018	0.0149077504556085	CAMP	820
ENSG00000120675	128.309315082721	-6.0211618919421	0.574774868897104	-10.4756874695926	1.11722873438937e-25	2.56912358741591e-24	DNAJC15	29103
ENSG00000180061	2.11179965476154	-6.02055854152333	2.04715971498259	-2.94093250148513	0.00327225830045876	0.00716486763917723	TMEM150B	284417
ENSG00000137875	2.55622978176728	-6.01766948668801	1.62147220307114	-3.71123814228223	0.000206247954162973	0.000555475174881769	BCL2L10	10017
ENSG00000279078	1.11915841851092	-6.0163072479435	2.32519608766627	-2.58744080976925	0.00966918063909563	0.0192255499925394	SND1-IT1	27099
ENSG00000183729	11.9322796982297	6.00926911994778	1.49633644620957	4.01598793852152	5.91972833008554e-05	0.000173342484014609	NPBWR1	2831
ENSG00000214872	25.0684333876605	-5.99717192772478	0.480425705534195	-12.4830371452677	9.23938707808444e-36	4.25566723734712e-34	SMTNL1	219537
ENSG00000128284	13.8085280549145	-5.9886876053102	0.840834529208967	-7.12231407878098	1.06129865691694e-12	8.30520346928165e-12	APOL3	80833
ENSG00000170209	4.52219702009989	-5.96071767377049	1.42963212501101	-4.16940663929512	3.05393682945921e-05	9.33093288650305e-05	ANKK1	255239
ENSG00000283791	2.48940558310474	-5.94784183313955	1.67204336758589	-3.55722940471759	0.000374786842447433	0.00096694374927817	MIR612	693197
ENSG00000165887	36.5503888859543	5.94160301475418	1.42945951988092	4.1565381405478	3.23106251966357e-05	9.84466367234801e-05	ANKRD2	26287
ENSG00000187479	9.26615085056074	-5.92877723114293	0.816201553936118	-7.26386417981135	3.76185747117205e-13	3.11047816133891e-12	C11orf96	387763
ENSG00000238269	0.73725413508191	-5.91338526032034	3.35120320042107	-1.76455586446603	0.0776384386594389	NA	PAGE2B	389860
ENSG00000162654	16.7725919343051	-5.89350066984667	0.626892780143193	-9.40113023554123	5.39800644628694e-21	8.76133575377239e-20	GBP4	115361
ENSG00000080224	2.35204238205213	-5.87209316393249	1.62442564769357	-3.61487346144154	0.000300494356528244	0.000786515774817443	EPHA6	285220
ENSG00000229314	2.44463562047549	-5.86676561569015	2.02111688096771	-2.90273445882117	0.00369920146614065	0.00801275979207249	ORM1	5004
ENSG00000166143	8.32145745058434	-5.8402802230072	0.900324515800558	-6.48686126003588	8.76429744310704e-11	5.56172090121538e-10	PPP1R14D	54866
ENSG00000162949	6.38875674581637	-5.84005339492492	1.42861345929726	-4.08791710376134	4.35263620899885e-05	0.000129785153262712	CAPN13	92291
ENSG00000205403	62.7392616228211	-5.80679609489478	0.509745641269317	-11.3915561503092	4.60687752732797e-30	1.42196667990419e-28	CFI	3426
ENSG00000125735	31.3951321230022	-5.8018416935604	0.527598710129711	-10.9966942340212	3.96398346517855e-28	1.10144163748023e-26	TNFSF14	8740
ENSG00000185885	176.353813775553	-5.7935421266237	0.204328146261177	-28.3541070216448	7.44889512447616e-177	1.03864684926559e-173	IFITM1	8519
ENSG00000124102	139.651149647013	-5.78781331821572	0.258726926764881	-22.3703554577271	7.65246078423685e-111	3.55677101541287e-108	PI3	5266
ENSG00000168062	151.691675668168	-5.76904032080451	0.218990058791673	-26.343845709876	6.03728267510786e-153	6.17332277805363e-150	BATF2	116071
ENSG00000198542	19.2242343296771	-5.76881432279071	1.13716071957742	-5.07299823452787	3.91596134269674e-07	1.5818058190983e-06	ITGBL1	9358
ENSG00000089012	0.569537138488681	-5.76819195941413	6.04885157163681	-0.953601173892462	0.340285561328268	NA	SIRPG	55423
ENSG00000077522	0.762462542521643	-5.76390314044599	3.35051947138359	-1.72030134123226	0.0853776797879155	NA	ACTN2	88
ENSG00000115596	11.0296763583587	-5.75090500104684	0.888951658641088	-6.46931128947784	9.84505953862407e-11	6.22694941045014e-10	WNT6	7475
ENSG00000137959	77.2614973924729	-5.75039358935436	0.534209410363088	-10.7643060526507	5.07423861784169e-27	1.28007684079697e-25	IFI44L	10964
ENSG00000140470	1.1270659525571	-5.74860424677225	2.0479742663602	-2.80697093767152	0.00500097533030591	0.0105425874479173	ADAMTS17	170691
ENSG00000181433	2.7441691614731	-5.72355366861388	1.65258729859184	-3.4633896033758	0.000533415430105732	0.00134277463761065	SAGE1	55511
ENSG00000135114	288.146239702827	-5.72302209307498	0.361839289431382	-15.8164750490985	2.3953323732501e-56	2.74456170708205e-54	OASL	8638
ENSG00000137747	16.5683102291045	-5.70225925132146	1.4406878181553	-3.95801170764586	7.55762541912096e-05	0.000217402210574789	TMPRSS13	84000
ENSG00000204644	10.6630440495701	-5.69873969463868	1.22051937891869	-4.66911037470576	3.02506830433435e-06	1.08054256292222e-05	ZFP57	346171
ENSG00000143546	444.851200108982	-5.69782069995791	1.39163280426746	-4.09434204373845	4.23368922582377e-05	0.000126507549864962	S100A8	6279
ENSG00000140945	412.52608372578	-5.68685277016819	1.39041142277354	-4.09005038150814	4.31279496271268e-05	0.000128670782217637	CDH13	1012
ENSG00000110436	9.22541678324419	-5.6820282382372	2.23331410607624	-2.54421365215844	0.010952407048115	0.0215176148717802	SLC1A2	6506
ENSG00000180537	12.3855835307115	5.64867608085006	1.51842800737214	3.72008159321685	0.000199158426577087	0.000538082076244384	RNF182	221687
ENSG00000088882	0.887671887545856	-5.63147783620216	4.34589391050735	-1.29581576360771	0.195038965830603	0.278642665602625	CPXM1	56265
ENSG00000282100	0.892920822877301	-5.63098200549421	3.51841245585887	-1.6004326030956	0.109502647214873	0.168799156078565	HSP90AB4P	664618
